tday,stocks,cl
20070502,EWG,2599
20070502,EWJ,1277
20070502,EWQ,2976
20070502,EWU,1838
20070502,EWY,5003
20070502,EWZ,NaN
20070502,FXI,3049
20070503,EWC,2411
20070503,EWG,2595
20070503,EWJ,1279
20070503,EWQ,2976
20070503,EWU,1853
20070503,EWY,5048
20070503,EWZ,NaN
20070503,FXI,3094
20070504,EWC,2428
20070504,EWG,2615
20070504,EWJ,1283
20070504,EWQ,3017
20070504,EWU,1875
20070504,EWY,5015
20070504,EWZ,NaN
20070504,FXI,3116
20070507,EWC,2458
20070507,EWG,2619
20070507,EWJ,1290
20070507,EWQ,3021
20070507,EWU,1874
20070507,EWY,5085
20070507,EWZ,NaN
20070507,FXI,3144
20070508,EWC,2456
20070508,EWG,2586
20070508,EWJ,1287
20070508,EWQ,2996
20070508,EWU,1861
20070508,EWY,5080
20070508,EWZ,NaN
20070508,FXI,3116
20070509,EWC,2455
20070509,EWG,2595
20070509,EWJ,1303
20070509,EWQ,3004
20070509,EWU,1869
20070509,EWY,5159
20070509,EWZ,NaN
20070509,FXI,3162
20070510,EWC,2430
20070510,EWG,2529
20070510,EWJ,1283
20070510,EWQ,2939
20070510,EWU,1826
20070510,EWY,5048
20070510,EWZ,NaN
20070510,FXI,3082
20070511,EWC,2467
20070511,EWG,2591
20070511,EWJ,1293
20070511,EWQ,2999
20070511,EWU,1855
20070511,EWY,5176
20070511,EWZ,NaN
20070511,FXI,3251
20070514,EWC,2458
20070514,EWG,2570
20070514,EWJ,1290
20070514,EWQ,2980
20070514,EWU,1849
20070514,EWY,5126
20070514,EWZ,NaN
20070514,FXI,3237
20070515,EWC,2488
20070515,EWG,2585
20070515,EWJ,1279
20070515,EWQ,2996
20070515,EWU,1851
20070515,EWY,5098
20070515,EWZ,NaN
20070515,FXI,3225
20070516,EWC,2493
20070516,EWG,2595
20070516,EWJ,1282
20070516,EWQ,2989
20070516,EWU,1858
20070516,EWY,5202
20070516,EWZ,NaN
20070516,FXI,3293
20070517,EWC,2524
20070517,EWG,2587
20070517,EWJ,1271
20070517,EWQ,2978
20070517,EWU,1858
20070517,EWY,5148
20070517,EWZ,NaN
20070517,FXI,3267
20070518,EWC,2544
20070518,EWG,2631
20070518,EWJ,1267
20070518,EWQ,3035
20070518,EWU,1877
20070518,EWY,5131
20070518,EWZ,NaN
20070518,FXI,3247
20070521,EWC,2557
20070521,EWG,2618
20070521,EWJ,1267
20070521,EWQ,3014
20070521,EWU,1862
20070521,EWY,5167
20070521,EWZ,NaN
20070521,FXI,3243
20070522,EWC,2540
20070522,EWG,2627
20070522,EWJ,1280
20070522,EWQ,3015
20070522,EWU,1861
20070522,EWY,5219
20070522,EWZ,NaN
20070522,FXI,3222
20070523,EWC,2535
20070523,EWG,2662
20070523,EWJ,1282
20070523,EWQ,3028
20070523,EWU,1870
20070523,EWY,5213
20070523,EWZ,NaN
20070523,FXI,3197
20070524,EWC,2520
20070524,EWG,2624
20070524,EWJ,1275
20070524,EWQ,2991
20070524,EWU,1852
20070524,EWY,5121
20070524,EWZ,NaN
20070524,FXI,3110
20070525,EWC,2550
20070525,EWG,2659
20070525,EWJ,1270
20070525,EWQ,3014
20070525,EWU,1865
20070525,EWY,5222
20070525,EWZ,NaN
20070525,FXI,3168
20070529,EWC,2551
20070529,EWG,2665
20070529,EWJ,1283
20070529,EWQ,3009
20070529,EWU,1862
20070529,EWY,5226
20070529,EWZ,NaN
20070529,FXI,3129
20070530,EWC,2573
20070530,EWG,2673
20070530,EWJ,1286
20070530,EWQ,3015
20070530,EWU,1869
20070530,EWY,5272
20070530,EWZ,NaN
20070530,FXI,3142
20070531,EWC,2576
20070531,EWG,2724
20070531,EWJ,1299
20070531,EWQ,3042
20070531,EWU,1869
20070531,EWY,5332
20070531,EWZ,NaN
20070531,FXI,3176
20070601,EWC,2606
20070601,EWG,2745
20070601,EWJ,1306
20070601,EWQ,3060
20070601,EWU,1886
20070601,EWY,5438
20070601,EWZ,NaN
20070601,FXI,3238
20070604,EWC,2613
20070604,EWG,2745
20070604,EWJ,1310
20070604,EWQ,3057
20070604,EWU,1888
20070604,EWY,5511
20070604,EWZ,NaN
20070604,FXI,3231
20070605,EWC,2603
20070605,EWG,2725
20070605,EWJ,1308
20070605,EWQ,3030
20070605,EWU,1879
20070605,EWY,5488
20070605,EWZ,NaN
20070605,FXI,3264
20070606,EWC,2570
20070606,EWG,2652
20070606,EWJ,1303
20070606,EWQ,2974
20070606,EWU,1847
20070606,EWY,5411
20070606,EWZ,NaN
20070606,FXI,3216
20070607,EWC,2510
20070607,EWG,2581
20070607,EWJ,1298
20070607,EWQ,2891
20070607,EWU,1817
20070607,EWY,5387
20070607,EWZ,NaN
20070607,FXI,3190
20070608,EWC,2537
20070608,EWG,2596
20070608,EWJ,1304
20070608,EWQ,2938
20070608,EWU,1842
20070608,EWY,5497
20070608,EWZ,NaN
20070608,FXI,3271
20070611,EWC,2526
20070611,EWG,2626
20070611,EWJ,1302
20070611,EWQ,2948
20070611,EWU,1843
20070611,EWY,5441
20070611,EWZ,NaN
20070611,FXI,3306
20070612,EWC,2512
20070612,EWG,2590
20070612,EWJ,1285
20070612,EWQ,2888
20070612,EWU,1827
20070612,EWY,5394
20070612,EWZ,NaN
20070612,FXI,3243
20070613,EWC,2550
20070613,EWG,2625
20070613,EWJ,1289
20070613,EWQ,2950
20070613,EWU,1860
20070613,EWY,5498
20070613,EWZ,NaN
20070613,FXI,3303
20070614,EWC,2578
20070614,EWG,2668
20070614,EWJ,1291
20070614,EWQ,2987
20070614,EWU,1870
20070614,EWY,5623
20070614,EWZ,NaN
20070614,FXI,3388
20070615,EWC,2617
20070615,EWG,2728
20070615,EWJ,1302
20070615,EWQ,3017
20070615,EWU,1884
20070615,EWY,5681
20070615,EWZ,NaN
20070615,FXI,3470
20070618,EWC,2624
20070618,EWG,2747
20070618,EWJ,1299
20070618,EWQ,3021
20070618,EWU,1891
20070618,EWY,5706
20070618,EWZ,NaN
20070618,FXI,3550
20070619,EWC,2603
20070619,EWG,2753
20070619,EWJ,1299
20070619,EWQ,3025
20070619,EWU,1880
20070619,EWY,5722
20070619,EWZ,NaN
20070619,FXI,3575
20070620,EWC,2565
20070620,EWG,2711
20070620,EWJ,1290
20070620,EWQ,2980
20070620,EWU,1863
20070620,EWY,5620
20070620,EWZ,NaN
20070620,FXI,3565
20070621,EWC,2571
20070621,EWG,2718
20070621,EWJ,1296
20070621,EWQ,3002
20070621,EWU,1880
20070621,EWY,5710
20070621,EWZ,NaN
20070621,FXI,3674
20070622,EWC,2553
20070622,EWG,2697
20070622,EWJ,1283
20070622,EWQ,2967
20070622,EWU,1857
20070622,EWY,5551
20070622,EWZ,NaN
20070622,FXI,3635
20070625,EWC,2530
20070625,EWG,2673
20070625,EWJ,1276
20070625,EWQ,2953
20070625,EWU,1858
20070625,EWY,5538
20070625,EWZ,NaN
20070625,FXI,3610
20070626,EWC,2494
20070626,EWG,2673
20070626,EWJ,1278
20070626,EWQ,2933
20070626,EWU,1853
20070626,EWY,5480
20070626,EWZ,NaN
20070626,FXI,3563
20070627,EWC,2515
20070627,EWG,2691
20070627,EWJ,1281
20070627,EWQ,2966
20070627,EWU,1873
20070627,EWY,5528
20070627,EWZ,NaN
20070627,FXI,3648
20070628,EWC,2546
20070628,EWG,2708
20070628,EWJ,1278
20070628,EWQ,2981
20070628,EWU,1872
20070628,EWY,5548
20070628,EWZ,NaN
20070628,FXI,3662
20070629,EWC,2555
20070629,EWG,2729
20070629,EWJ,1291
20070629,EWQ,3002
20070629,EWU,1881
20070629,EWY,5534
20070629,EWZ,NaN
20070629,FXI,3643
20070702,EWC,2587
20070702,EWG,2756
20070702,EWJ,1314
20070702,EWQ,3036
20070702,EWU,1896
20070702,EWY,5691
20070702,EWZ,NaN
20070702,FXI,3710
20070703,EWC,2594
20070703,EWG,2792
20070703,EWJ,1311
20070703,EWQ,3056
20070703,EWU,1910
20070703,EWY,5768
20070703,EWZ,NaN
20070703,FXI,3787
20070705,EWC,2613
20070705,EWG,2800
20070705,EWJ,1307
20070705,EWQ,3041
20070705,EWU,1898
20070705,EWY,5858
20070705,EWZ,NaN
20070705,FXI,3774
20070706,EWC,2639
20070706,EWG,2797
20070706,EWJ,1301
20070706,EWQ,3072
20070706,EWU,1912
20070706,EWY,5984
20070706,EWZ,NaN
20070706,FXI,3869
20070709,EWC,2644
20070709,EWG,2812
20070709,EWJ,1301
20070709,EWQ,3072
20070709,EWU,1923
20070709,EWY,6026
20070709,EWZ,NaN
20070709,FXI,3922
20070710,EWC,2629
20070710,EWG,2759
20070710,EWJ,1304
20070710,EWQ,3023
20070710,EWU,1894
20070710,EWY,5946
20070710,EWZ,NaN
20070710,FXI,3876
20070711,EWC,2631
20070711,EWG,2786
20070711,EWJ,1299
20070711,EWQ,3063
20070711,EWU,1915
20070711,EWY,6010
20070711,EWZ,NaN
20070711,FXI,3897
20070712,EWC,2689
20070712,EWG,2859
20070712,EWJ,1308
20070712,EWQ,3134
20070712,EWU,1950
20070712,EWY,6195
20070712,EWZ,NaN
20070712,FXI,3972
20070713,EWC,2713
20070713,EWG,2851
20070713,EWJ,1315
20070713,EWQ,3124
20070713,EWU,1944
20070713,EWY,6296
20070713,EWZ,NaN
20070713,FXI,3986
20070716,EWC,2695
20070716,EWG,2840
20070716,EWJ,1312
20070716,EWQ,3107
20070716,EWU,1940
20070716,EWY,6208
20070716,EWZ,NaN
20070716,FXI,3931
20070717,EWC,2704
20070717,EWG,2822
20070717,EWJ,1305
20070717,EWQ,3100
20070717,EWU,1936
20070717,EWY,6213
20070717,EWZ,NaN
20070717,FXI,3929
20070718,EWC,2738
20070718,EWG,2786
20070718,EWJ,1299
20070718,EWQ,3068
20070718,EWU,1922
20070718,EWY,6126
20070718,EWZ,NaN
20070718,FXI,3854
20070719,EWC,2754
20070719,EWG,2810
20070719,EWJ,1305
20070719,EWQ,3089
20070719,EWU,1938
20070719,EWY,6188
20070719,EWZ,NaN
20070719,FXI,3907
20070720,EWC,2731
20070720,EWG,2763
20070720,EWJ,1299
20070720,EWQ,3037
20070720,EWU,1921
20070720,EWY,6229
20070720,EWZ,NaN
20070720,FXI,3908
20070723,EWC,2713
20070723,EWG,2784
20070723,EWJ,1307
20070723,EWQ,3067
20070723,EWU,1933
20070723,EWY,6369
20070723,EWZ,NaN
20070723,FXI,4031
20070724,EWC,2668
20070724,EWG,2712
20070724,EWJ,1303
20070724,EWQ,2990
20070724,EWU,1887
20070724,EWY,6236
20070724,EWZ,NaN
20070724,FXI,3930
20070725,EWC,2662
20070725,EWG,2704
20070725,EWJ,1304
20070725,EWQ,2975
20070725,EWU,1880
20070725,EWY,6328
20070725,EWZ,NaN
20070725,FXI,4003
20070726,EWC,2581
20070726,EWG,2605
20070726,EWJ,1281
20070726,EWQ,2853
20070726,EWU,1806
20070726,EWY,6002
20070726,EWZ,NaN
20070726,FXI,3842
20070727,EWC,2541
20070727,EWG,2529
20070727,EWJ,1268
20070727,EWQ,2820
20070727,EWU,1776
20070727,EWY,5887
20070727,EWZ,NaN
20070727,FXI,3778
20070730,EWC,2553
20070730,EWG,2620
20070730,EWJ,1290
20070730,EWQ,2885
20070730,EWU,1798
20070730,EWY,6112
20070730,EWZ,NaN
20070730,FXI,3934
20070731,EWC,2555
20070731,EWG,2627
20070731,EWJ,1283
20070731,EWQ,2882
20070731,EWU,1818
20070731,EWY,6054
20070731,EWZ,NaN
20070731,FXI,3955
20070801,EWC,2532
20070801,EWG,2640
20070801,EWJ,1274
20070801,EWQ,2885
20070801,EWU,1820
20070801,EWY,5910
20070801,EWZ,NaN
20070801,FXI,3879
20070802,EWC,2583
20070802,EWG,2643
20070802,EWJ,1267
20070802,EWQ,2892
20070802,EWU,1828
20070802,EWY,5904
20070802,EWZ,NaN
20070802,FXI,3851
20070803,EWC,2533
20070803,EWG,2595
20070803,EWJ,1250
20070803,EWQ,2828
20070803,EWU,1794
20070803,EWY,5693
20070803,EWZ,NaN
20070803,FXI,3680
20070806,EWC,2521
20070806,EWG,2666
20070806,EWJ,1268
20070806,EWQ,2856
20070806,EWU,1810
20070806,EWY,5906
20070806,EWZ,NaN
20070806,FXI,3709
20070807,EWC,2527
20070807,EWG,2654
20070807,EWJ,1266
20070807,EWQ,2868
20070807,EWU,1831
20070807,EWY,5925
20070807,EWZ,NaN
20070807,FXI,3683
20070808,EWC,2584
20070808,EWG,2666
20070808,EWJ,1276
20070808,EWQ,2926
20070808,EWU,1853
20070808,EWY,6076
20070808,EWZ,NaN
20070808,FXI,3842
20070809,EWC,2506
20070809,EWG,2591
20070809,EWJ,1256
20070809,EWQ,2886
20070809,EWU,1820
20070809,EWY,5782
20070809,EWZ,NaN
20070809,FXI,3697
20070810,EWC,2513
20070810,EWG,2562
20070810,EWJ,1238
20070810,EWQ,2776
20070810,EWU,1756
20070810,EWY,5704
20070810,EWZ,NaN
20070810,FXI,3688
20070813,EWC,2507
20070813,EWG,2575
20070813,EWJ,1240
20070813,EWQ,2776
20070813,EWU,1775
20070813,EWY,5717
20070813,EWZ,NaN
20070813,FXI,3666
20070814,EWC,2443
20070814,EWG,2558
20070814,EWJ,1236
20070814,EWQ,2732
20070814,EWU,1749
20070814,EWY,5543
20070814,EWZ,NaN
20070814,FXI,3614
20070815,EWC,2385
20070815,EWG,2497
20070815,EWJ,1216
20070815,EWQ,2654
20070815,EWU,1708
20070815,EWY,5366
20070815,EWZ,NaN
20070815,FXI,3465
20070816,EWC,2355
20070816,EWG,2512
20070816,EWJ,1219
20070816,EWQ,2656
20070816,EWU,1690
20070816,EWY,5165
20070816,EWZ,NaN
20070816,FXI,3385
20070817,EWC,2432
20070817,EWG,2543
20070817,EWJ,1210
20070817,EWQ,2688
20070817,EWU,1730
20070817,EWY,5369
20070817,EWZ,NaN
20070817,FXI,3517
20070820,EWC,2454
20070820,EWG,2540
20070820,EWJ,1196
20070820,EWQ,2685
20070820,EWU,1730
20070820,EWY,5382
20070820,EWZ,NaN
20070820,FXI,3602
20070821,EWC,2464
20070821,EWG,2530
20070821,EWJ,1211
20070821,EWQ,2686
20070821,EWU,1716
20070821,EWY,5339
20070821,EWZ,NaN
20070821,FXI,3647
20070822,EWC,2506
20070822,EWG,2595
20070822,EWJ,1227
20070822,EWQ,2765
20070822,EWU,1762
20070822,EWY,5576
20070822,EWZ,NaN
20070822,FXI,3899
20070823,EWC,2523
20070823,EWG,2593
20070823,EWJ,1236
20070823,EWQ,2770
20070823,EWU,1778
20070823,EWY,5586
20070823,EWZ,NaN
20070823,FXI,3902
20070824,EWC,2547
20070824,EWG,2635
20070824,EWJ,1243
20070824,EWQ,2831
20070824,EWU,1805
20070824,EWY,5703
20070824,EWZ,NaN
20070824,FXI,4061
20070827,EWC,2524
20070827,EWG,2594
20070827,EWJ,1233
20070827,EWQ,2816
20070827,EWU,1789
20070827,EWY,5584
20070827,EWZ,NaN
20070827,FXI,4327
20070828,EWC,2459
20070828,EWG,2553
20070828,EWJ,1221
20070828,EWQ,2733
20070828,EWU,1738
20070828,EWY,5465
20070828,EWZ,NaN
20070828,FXI,3978
20070829,EWC,2553
20070829,EWG,2616
20070829,EWJ,1233
20070829,EWQ,2821
20070829,EWU,1785
20070829,EWY,5793
20070829,EWZ,NaN
20070829,FXI,4187
20070830,EWC,2517
20070830,EWG,2602
20070830,EWJ,1225
20070830,EWQ,2812
20070830,EWU,1780
20070830,EWY,5727
20070830,EWZ,NaN
20070830,FXI,4141
20070831,EWC,2559
20070831,EWG,2656
20070831,EWJ,1251
20070831,EWQ,2862
20070831,EWU,1821
20070831,EWY,5883
20070831,EWZ,NaN
20070831,FXI,4249
20070904,EWC,2592
20070904,EWG,2683
20070904,EWJ,1244
20070904,EWQ,2866
20070904,EWU,1861
20070904,EWY,5938
20070904,EWZ,NaN
20070904,FXI,4320
20070905,EWC,2573
20070905,EWG,2663
20070905,EWJ,1220
20070905,EWQ,2811
20070905,EWU,1838
20070905,EWY,5800
20070905,EWZ,NaN
20070905,FXI,4209
20070906,EWC,2588
20070906,EWG,2652
20070906,EWJ,1221
20070906,EWQ,2821
20070906,EWU,1841
20070906,EWY,5906
20070906,EWZ,NaN
20070906,FXI,4255
20070907,EWC,2565
20070907,EWG,2607
20070907,EWJ,1215
20070907,EWQ,2771
20070907,EWU,1816
20070907,EWY,5751
20070907,EWZ,NaN
20070907,FXI,4150
20070910,EWC,2553
20070910,EWG,2578
20070910,EWJ,1204
20070910,EWQ,2765
20070910,EWU,1796
20070910,EWY,5716
20070910,EWZ,NaN
20070910,FXI,4222
20070911,EWC,2594
20070911,EWG,2637
20070911,EWJ,1217
20070911,EWQ,2809
20070911,EWU,1849
20070911,EWY,5838
20070911,EWZ,NaN
20070911,FXI,4274
20070912,EWC,2625
20070912,EWG,2651
20070912,EWJ,1213
20070912,EWQ,2826
20070912,EWU,1836
20070912,EWY,5772
20070912,EWZ,NaN
20070912,FXI,4316
20070913,EWC,2644
20070913,EWG,2660
20070913,EWJ,1204
20070913,EWQ,2843
20070913,EWU,1849
20070913,EWY,5895
20070913,EWZ,NaN
20070913,FXI,4345
20070914,EWC,2660
20070914,EWG,2654
20070914,EWJ,1208
20070914,EWQ,2838
20070914,EWU,1819
20070914,EWY,5921
20070914,EWZ,NaN
20070914,FXI,4411
20070917,EWC,2660
20070917,EWG,2633
20070917,EWJ,1202
20070917,EWQ,2790
20070917,EWU,1774
20070917,EWY,5875
20070917,EWZ,NaN
20070917,FXI,4374
20070918,EWC,2732
20070918,EWG,2737
20070918,EWJ,1214
20070918,EWQ,2920
20070918,EWU,1847
20070918,EWY,6084
20070918,EWZ,NaN
20070918,FXI,4617
20070919,EWC,2718
20070919,EWG,2753
20070919,EWJ,1227
20070919,EWQ,2946
20070919,EWU,1861
20070919,EWY,6187
20070919,EWZ,NaN
20070919,FXI,4643
20070920,EWC,2733
20070920,EWG,2777
20070920,EWJ,1223
20070920,EWQ,2946
20070920,EWU,1849
20070920,EWY,6112
20070920,EWZ,NaN
20070920,FXI,4625
20070921,EWC,2752
20070921,EWG,2798
20070921,EWJ,1226
20070921,EWQ,2965
20070921,EWU,1872
20070921,EWY,6200
20070921,EWZ,NaN
20070921,FXI,4763
20070924,EWC,2753
20070924,EWG,2786
20070924,EWJ,1230
20070924,EWQ,2955
20070924,EWU,1877
20070924,EWY,6250
20070924,EWZ,NaN
20070924,FXI,4903
20070925,EWC,2761
20070925,EWG,2800
20070925,EWJ,1237
20070925,EWQ,2960
20070925,EWU,1863
20070925,EWY,6184
20070925,EWZ,NaN
20070925,FXI,4923
20070926,EWC,2770
20070926,EWG,2813
20070926,EWJ,1248
20070926,EWQ,2963
20070926,EWU,1869
20070926,EWY,6270
20070926,EWZ,NaN
20070926,FXI,4977
20070927,EWC,2796
20070927,EWG,2834
20070927,EWJ,1276
20070927,EWQ,2999
20070927,EWU,1888
20070927,EWY,6323
20070927,EWZ,NaN
20070927,FXI,5148
20070928,EWC,2801
20070928,EWG,2848
20070928,EWJ,1275
20070928,EWQ,3006
20070928,EWU,1894
20070928,EWY,6246
20070928,EWZ,NaN
20070928,FXI,5089
20071001,EWC,2837
20071001,EWG,2888
20071001,EWJ,1290
20071001,EWQ,3056
20071001,EWU,1925
20071001,EWY,6499
20071001,EWZ,NaN
20071001,FXI,5237
20071002,EWC,2814
20071002,EWG,2872
20071002,EWJ,1286
20071002,EWQ,3044
20071002,EWU,1914
20071002,EWY,6598
20071002,EWZ,NaN
20071002,FXI,5357
20071003,EWC,2786
20071003,EWG,2850
20071003,EWJ,1287
20071003,EWQ,3017
20071003,EWU,1906
20071003,EWY,6475
20071003,EWZ,NaN
20071003,FXI,5073
20071004,EWC,2820
20071004,EWG,2854
20071004,EWJ,1286
20071004,EWQ,3029
20071004,EWU,1914
20071004,EWY,6509
20071004,EWZ,NaN
20071004,FXI,5123
20071005,EWC,2873
20071005,EWG,2891
20071005,EWJ,1303
20071005,EWQ,3056
20071005,EWU,1942
20071005,EWY,6602
20071005,EWZ,NaN
20071005,FXI,5417
20071008,EWC,2861
20071008,EWG,2866
20071008,EWJ,1296
20071008,EWQ,3024
20071008,EWU,1919
20071008,EWY,6534
20071008,EWZ,NaN
20071008,FXI,5292
20071009,EWC,2874
20071009,EWG,2891
20071009,EWJ,1292
20071009,EWQ,3064
20071009,EWU,1945
20071009,EWY,6608
20071009,EWZ,NaN
20071009,FXI,5425
20071010,EWC,2890
20071010,EWG,2882
20071010,EWJ,1290
20071010,EWQ,3052
20071010,EWU,1942
20071010,EWY,6628
20071010,EWZ,NaN
20071010,FXI,5438
20071011,EWC,2885
20071011,EWG,2901
20071011,EWJ,1291
20071011,EWQ,3059
20071011,EWU,1952
20071011,EWY,6608
20071011,EWZ,NaN
20071011,FXI,5442
20071012,EWC,2929
20071012,EWG,2907
20071012,EWJ,1291
20071012,EWQ,3064
20071012,EWU,1965
20071012,EWY,6612
20071012,EWZ,NaN
20071012,FXI,5736
20071015,EWC,2886
20071015,EWG,2903
20071015,EWJ,1276
20071015,EWQ,3048
20071015,EWU,1947
20071015,EWY,6471
20071015,EWZ,NaN
20071015,FXI,5737
20071016,EWC,2860
20071016,EWG,2875
20071016,EWJ,1253
20071016,EWQ,3020
20071016,EWU,1927
20071016,EWY,6296
20071016,EWZ,NaN
20071016,FXI,5627
20071017,EWC,2892
20071017,EWG,2900
20071017,EWJ,1255
20071017,EWQ,3057
20071017,EWU,1953
20071017,EWY,6387
20071017,EWZ,NaN
20071017,FXI,6177
20071018,EWC,2950
20071018,EWG,2909
20071018,EWJ,1260
20071018,EWQ,3064
20071018,EWU,1959
20071018,EWY,6438
20071018,EWZ,NaN
20071018,FXI,6008
20071019,EWC,2872
20071019,EWG,2850
20071019,EWJ,1235
20071019,EWQ,2995
20071019,EWU,1905
20071019,EWY,6190
20071019,EWZ,NaN
20071019,FXI,5634
20071022,EWC,2879
20071022,EWG,2827
20071022,EWJ,1243
20071022,EWQ,2972
20071022,EWU,1901
20071022,EWY,6164
20071022,EWZ,NaN
20071022,FXI,5697
20071023,EWC,2891
20071023,EWG,2870
20071023,EWJ,1246
20071023,EWQ,3017
20071023,EWU,1932
20071023,EWY,6297
20071023,EWZ,NaN
20071023,FXI,5938
20071024,EWC,2894
20071024,EWG,2883
20071024,EWJ,1241
20071024,EWQ,3023
20071024,EWU,1923
20071024,EWY,6223
20071024,EWZ,NaN
20071024,FXI,5838
20071025,EWC,2901
20071025,EWG,2906
20071025,EWJ,1236
20071025,EWQ,3048
20071025,EWU,1941
20071025,EWY,6419
20071025,EWZ,NaN
20071025,FXI,5869
20071026,EWC,2956
20071026,EWG,2930
20071026,EWJ,1258
20071026,EWQ,3090
20071026,EWU,1974
20071026,EWY,6709
20071026,EWZ,NaN
20071026,FXI,5918
20071029,EWC,3008
20071029,EWG,2966
20071029,EWJ,1275
20071029,EWQ,3112
20071029,EWU,1991
20071029,EWY,6806
20071029,EWZ,NaN
20071029,FXI,6086
20071030,EWC,2979
20071030,EWG,2949
20071030,EWJ,1268
20071030,EWQ,3085
20071030,EWU,1975
20071030,EWY,6631
20071030,EWZ,NaN
20071030,FXI,5977
20071031,EWC,3087
20071031,EWG,2988
20071031,EWJ,1277
20071031,EWQ,3118
20071031,EWU,2004
20071031,EWY,6861
20071031,EWZ,NaN
20071031,FXI,6177
20071101,EWC,3006
20071101,EWG,2898
20071101,EWJ,1261
20071101,EWQ,3039
20071101,EWU,1957
20071101,EWY,6547
20071101,EWZ,NaN
20071101,FXI,5890
20071102,EWC,3073
20071102,EWG,2965
20071102,EWJ,1258
20071102,EWQ,3077
20071102,EWU,1975
20071102,EWY,6553
20071102,EWZ,NaN
20071102,FXI,5883
20071105,EWC,3051
20071105,EWG,2907
20071105,EWJ,1236
20071105,EWQ,3046
20071105,EWU,1926
20071105,EWY,6425
20071105,EWZ,NaN
20071105,FXI,5366
20071106,EWC,3116
20071106,EWG,2945
20071106,EWJ,1251
20071106,EWQ,3088
20071106,EWU,1945
20071106,EWY,6777
20071106,EWZ,NaN
20071106,FXI,5605
20071107,EWC,3042
20071107,EWG,2920
20071107,EWJ,1227
20071107,EWQ,3032
20071107,EWU,1894
20071107,EWY,6507
20071107,EWZ,NaN
20071107,FXI,5338
20071108,EWC,2995
20071108,EWG,2958
20071108,EWJ,1208
20071108,EWQ,3048
20071108,EWU,1925
20071108,EWY,6382
20071108,EWZ,NaN
20071108,FXI,5214
20071109,EWC,2930
20071109,EWG,2931
20071109,EWJ,1192
20071109,EWQ,2975
20071109,EWU,1878
20071109,EWY,6301
20071109,EWZ,NaN
20071109,FXI,5145
20071112,EWC,2796
20071112,EWG,2863
20071112,EWJ,1193
20071112,EWQ,2928
20071112,EWU,1839
20071112,EWY,6023
20071112,EWZ,NaN
20071112,FXI,4792
20071113,EWC,2863
20071113,EWG,2924
20071113,EWJ,1213
20071113,EWQ,3005
20071113,EWU,1908
20071113,EWY,6396
20071113,EWZ,NaN
20071113,FXI,5148
20071114,EWC,2846
20071114,EWG,2906
20071114,EWJ,1217
20071114,EWQ,3015
20071114,EWU,1885
20071114,EWY,6377
20071114,EWZ,NaN
20071114,FXI,5306
20071115,EWC,2730
20071115,EWG,2833
20071115,EWJ,1206
20071115,EWQ,2968
20071115,EWU,1845
20071115,EWY,6207
20071115,EWZ,NaN
20071115,FXI,5129
20071116,EWC,2766
20071116,EWG,2855
20071116,EWJ,1197
20071116,EWQ,2993
20071116,EWU,1855
20071116,EWY,6235
20071116,EWZ,NaN
20071116,FXI,5043
20071119,EWC,2697
20071119,EWG,2794
20071119,EWJ,1177
20071119,EWQ,2918
20071119,EWU,1788
20071119,EWY,5962
20071119,EWZ,NaN
20071119,FXI,4793
20071120,EWC,2739
20071120,EWG,2864
20071120,EWJ,1208
20071120,EWQ,2990
20071120,EWU,1833
20071120,EWY,5993
20071120,EWZ,NaN
20071120,FXI,5015
20071121,EWC,2671
20071121,EWG,2831
20071121,EWJ,1187
20071121,EWQ,2931
20071121,EWU,1793
20071121,EWY,5654
20071121,EWZ,NaN
20071121,FXI,4623
20071123,EWC,2725
20071123,EWG,2868
20071123,EWJ,1213
20071123,EWQ,3009
20071123,EWU,1841
20071123,EWY,5727
20071123,EWZ,NaN
20071123,FXI,4871
20071126,EWC,2732
20071126,EWG,2815
20071126,EWJ,1213
20071126,EWQ,2938
20071126,EWU,1800
20071126,EWY,5708
20071126,EWZ,NaN
20071126,FXI,4744
20071127,EWC,2689
20071127,EWG,2851
20071127,EWJ,1233
20071127,EWQ,2978
20071127,EWU,1827
20071127,EWY,5929
20071127,EWZ,NaN
20071127,FXI,4989
20071128,EWC,2764
20071128,EWG,2939
20071128,EWJ,1244
20071128,EWQ,3062
20071128,EWU,1893
20071128,EWY,6094
20071128,EWZ,NaN
20071128,FXI,5287
20071129,EWC,2773
20071129,EWG,2927
20071129,EWJ,1249
20071129,EWQ,3039
20071129,EWU,1871
20071129,EWY,6004
20071129,EWZ,NaN
20071129,FXI,5230
20071130,EWC,2731
20071130,EWG,2933
20071130,EWJ,1251
20071130,EWQ,3049
20071130,EWU,1886
20071130,EWY,6087
20071130,EWZ,NaN
20071130,FXI,5300
20071203,EWC,2721
20071203,EWG,2923
20071203,EWJ,1253
20071203,EWQ,3035
20071203,EWU,1875
20071203,EWY,6041
20071203,EWZ,NaN
20071203,FXI,5159
20071204,EWC,2670
20071204,EWG,2931
20071204,EWJ,1240
20071204,EWQ,3024
20071204,EWU,1859
20071204,EWY,6050
20071204,EWZ,NaN
20071204,FXI,5224
20071205,EWC,2705
20071205,EWG,2949
20071205,EWJ,1263
20071205,EWQ,3053
20071205,EWU,1895
20071205,EWY,6276
20071205,EWZ,NaN
20071205,FXI,5534
20071206,EWC,2733
